#Time,X,Y,Z
#1521384540.6607594,0.924,-0.356,-0.32
1521384540.6726663,0.912,-0.364,-0.336
1521384540.6801572,0.928,-0.364,-0.332
1521384540.693644,0.924,-0.364,-0.344
1521384540.702202,0.916,-0.36,-0.336
1521384540.7257009,0.92,-0.36,-0.336
1521384540.7435887,0.912,-0.356,-0.332
1521384540.7612617,0.92,-0.364,-0.332
1521384540.7718396,0.928,-0.36,-0.336
1521384540.7780414,0.924,-0.356,-0.344
1521384540.7839034,0.916,-0.352,-0.332
1521384540.7935643,0.924,-0.348,-0.336
1521384540.8040912,0.924,-0.356,-0.336
1521384540.8124423,0.932,-0.36,-0.336
1521384540.818334,0.924,-0.356,-0.34
1521384540.829267,0.936,-0.356,-0.316
1521384540.837157,0.928,-0.356,-0.34
1521384540.843076,0.924,-0.348,-0.328
1521384540.8636217,0.92,-0.364,-0.344
1521384540.8693967,0.912,-0.348,-0.332
1521384540.8752847,0.912,-0.352,-0.348
1521384540.8982747,0.916,-0.364,-0.336
1521384540.9077644,0.92,-0.344,-0.344
1521384540.9283342,0.912,-0.364,-0.348
1521384540.9412372,0.916,-0.36,-0.348
1521384540.956228,0.92,-0.356,-0.332
1521384540.966754,0.92,-0.352,-0.336
1521384540.973395,0.92,-0.356,-0.332
1521384540.9792,0.936,-0.332,-0.336
1521384540.986063,0.908,-0.376,-0.344
1521384540.992168,0.912,-0.364,-0.344
1521384540.997979,0.92,-0.36,-0.32
1521384541.0056448,0.908,-0.356,-0.324
1521384541.0191317,0.92,-0.364,-0.348
1521384541.0352156,0.916,-0.352,-0.336
1521384541.0525885,0.912,-0.36,-0.336
1521384541.0643713,0.924,-0.368,-0.324
1521384541.0736222,0.924,-0.356,-0.34
1521384541.092677,0.912,-0.356,-0.34
1521384541.109713,0.928,-0.36,-0.332
1521384541.114731,0.92,-0.36,-0.332
1521384541.1213858,0.924,-0.364,-0.34
1521384541.1415179,0.92,-0.352,-0.336
1521384541.1588216,0.916,-0.364,-0.336
1521384541.1851974,0.924,-0.36,-0.34
1521384541.1959283,0.916,-0.36,-0.332
1521384541.2168622,0.92,-0.36,-0.34
1521384541.2324772,0.916,-0.36,-0.34
1521384541.244725,0.92,-0.36,-0.328
1521384541.263315,0.92,-0.368,-0.34
1521384541.2772837,0.916,-0.364,-0.34
1521384541.3144696,0.928,-0.36,-0.356
1521384541.3220074,0.928,-0.356,-0.328
1521384541.3399863,0.92,-0.364,-0.34
1521384541.3635821,0.92,-0.364,-0.34
1521384541.3721921,0.924,-0.348,-0.34
1521384541.378365,0.916,-0.36,-0.324
1521384541.4054449,0.928,-0.368,-0.34
1521384541.4139738,0.916,-0.364,-0.344
1521384541.4398906,0.916,-0.36,-0.336
1521384541.4512975,0.92,-0.364,-0.34
1521384541.4714422,0.92,-0.356,-0.336
