#Time,X,Y,Z
#1522522285.4153104,-0.436,0.932,0.076
1522522285.4238963,-0.428,0.932,0.08
1522522285.4411573,-0.428,0.928,0.076
1522522285.458014,-0.428,0.92,0.072
1522522285.474639,-0.436,0.928,0.08
1522522285.4909708,-0.432,0.924,0.076
1522522285.5070815,-0.432,0.928,0.076
1522522285.5232985,-0.432,0.932,0.084
1522522285.5397842,-0.436,0.936,0.096
1522522285.55602,-0.436,0.932,0.08
1522522285.571763,-0.432,0.936,0.068
1522522285.587802,-0.436,0.928,0.072
1522522285.6043997,-0.432,0.92,0.08
1522522285.6205926,-0.432,0.936,0.076
1522522285.6364725,-0.432,0.924,0.076
1522522285.6524162,-0.436,0.932,0.084
1522522285.669321,-0.436,0.932,0.084
1522522285.6861358,-0.428,0.924,0.084
1522522285.7023418,-0.432,0.924,0.076
1522522285.7189336,-0.428,0.924,0.076
1522522285.7359924,-0.44,0.928,0.072
1522522285.7528603,-0.432,0.92,0.072
1522522285.769159,-0.432,0.928,0.084
1522522285.785656,-0.432,0.924,0.072
1522522285.8027728,-0.44,0.928,0.084
1522522285.8195107,-0.428,0.924,0.088
1522522285.8357484,-0.432,0.928,0.072
1522522285.8526363,-0.436,0.924,0.08
1522522285.869425,-0.436,0.928,0.072
1522522285.88617,-0.436,0.924,0.096
1522522285.9025528,-0.432,0.928,0.076
1522522285.9190276,-0.424,0.932,0.088
1522522285.9360924,-0.436,0.928,0.084
1522522285.9524932,-0.428,0.924,0.08
1522522285.969499,-0.432,0.924,0.08
1522522285.986176,-0.436,0.924,0.084
1522522286.0039008,-0.428,0.928,0.08
1522522286.0206077,-0.436,0.924,0.084
1522522286.0374215,-0.432,0.932,0.084
1522522286.0542803,-0.428,0.924,0.076
1522522286.0711513,-0.428,0.924,0.076
1522522286.0888839,-0.432,0.924,0.08
1522522286.1058939,-0.44,0.928,0.076
1522522286.1225626,-0.432,0.92,0.084
1522522286.1406915,-0.428,0.932,0.08
1522522286.1571314,-0.432,0.924,0.08
1522522286.173052,-0.444,0.932,0.088
1522522286.1893,-0.432,0.932,0.076
1522522286.2060928,-0.428,0.924,0.076
1522522286.2223058,-0.436,0.928,0.076
1522522286.2421355,-0.432,0.924,0.08
1522522286.2577643,-0.44,0.936,0.084
1522522286.2745492,-0.432,0.924,0.072
1522522286.290947,-0.432,0.928,0.084
1522522286.3071568,-0.432,0.928,0.08
1522522286.3239386,-0.44,0.932,0.072
1522522286.3405967,-0.44,0.932,0.08
1522522286.3569305,-0.428,0.928,0.08
1522522286.3730252,-0.432,0.932,0.084
1522522286.389668,-0.44,0.924,0.088
1522522286.406556,-0.444,0.94,0.08
1522522286.4227188,-0.432,0.924,0.084
1522522286.4400127,-0.436,0.924,0.072
1522522286.4554465,-0.436,0.932,0.076
1522522286.4721472,-0.432,0.928,0.076
1522522286.488296,-0.44,0.928,0.076
1522522286.5136209,-0.436,0.932,0.08
1522522286.5361388,-0.428,0.924,0.068
1522522286.5527856,-0.424,0.932,0.092
1522522286.5693054,-0.432,0.936,0.08
