#Time,X,Y,Z
#1521389479.1128542,1.1,-0.016,-0.096
1521389479.141893,1.096,-0.028,-0.1
1521389479.147462,1.088,-0.024,-0.092
1521389479.1529608,1.088,-0.044,-0.092
1521389479.1584618,1.092,-0.024,-0.104
1521389479.1639247,1.124,0.0,-0.068
1521389479.1694858,1.108,-0.028,-0.092
1521389479.1749647,1.096,-0.036,-0.08
1521389479.1804457,1.084,-0.032,-0.108
1521389479.1859527,1.128,-0.004,-0.076
1521389479.1914816,1.088,-0.004,-0.104
1521389479.1969955,1.108,-0.024,-0.08
1521389479.2024834,1.096,-0.028,-0.12
1521389479.2080364,1.088,-0.012,-0.112
1521389479.2135065,1.124,-0.004,-0.068
1521389479.2189934,1.1,-0.028,-0.112
1521389479.2244813,1.096,-0.024,-0.1
1521389479.2299802,1.104,-0.012,-0.084
1521389479.2354422,1.12,-0.012,-0.092
1521389479.2410293,1.084,-0.012,-0.08
1521389479.2465162,1.112,-0.016,-0.096
1521389479.252125,1.096,-0.012,-0.096
1521389479.257617,1.12,-0.02,-0.084
1521389479.2630901,1.108,-0.028,-0.1
1521389479.268592,1.084,-0.012,-0.096
1521389479.274072,1.12,-0.016,-0.08
1521389479.279635,1.08,-0.016,-0.1
1521389479.2850997,1.1,-0.012,-0.088
1521389479.290572,1.124,-0.012,-0.088
1521389479.2960048,1.08,-0.028,-0.12
1521389479.3015187,1.092,-0.024,-0.104
1521389479.3070157,1.08,-0.032,-0.116
1521389479.3124497,1.124,-0.02,-0.1
1521389479.3179646,1.104,-0.02,-0.096
1521389479.3234637,1.1,-0.028,-0.096
1521389479.3289654,1.1,-0.012,-0.08
1521389479.3344364,1.108,-0.024,-0.1
1521389479.3399334,1.1,-0.02,-0.108
1521389479.3454053,1.088,-0.02,-0.1
1521389479.3509734,1.112,-0.02,-0.104
1521389479.3564653,1.1,-0.024,-0.088
1521389479.3623822,1.112,-0.02,-0.088
1521389479.3679342,1.092,-0.02,-0.092
1521389479.373433,1.1,-0.016,-0.088
1521389479.3789241,1.108,-0.012,-0.092
1521389479.3843842,1.112,-0.012,-0.1
1521389479.389884,1.108,-0.02,-0.088
1521389479.395375,1.1,-0.028,-0.1
1521389479.400931,1.096,-0.032,-0.104
1521389479.406416,1.096,-0.012,-0.108
1521389479.4119039,1.1,-0.02,-0.108
1521389479.417609,1.104,-0.016,-0.096
1521389479.4234028,1.092,-0.02,-0.088
1521389479.4292848,1.108,-0.016,-0.104
1521389479.4362366,1.1,-0.02,-0.084
1521389479.4453747,1.092,-0.024,-0.108
1521389479.4508235,1.1,-0.024,-0.076
1521389479.4557667,1.14,-0.004,-0.072
1521389479.4605625,1.152,0.004,-0.084
1521389479.4695685,1.056,-0.04,-0.076
1521389479.4789364,1.1,-0.016,-0.112
1521389479.4928694,1.1,-0.024,-0.108
1521389479.5027611,1.096,-0.032,-0.104
1521389479.5200212,1.096,-0.028,-0.104
1521389479.529246,1.096,-0.02,-0.092
1521389479.5684807,1.1,-0.028,-0.1
1521389479.5903187,1.096,-0.028,-0.108
1521389479.6062036,1.092,-0.028,-0.104
1521389479.6186395,1.092,-0.028,-0.096
1521389479.641086,1.1,-0.016,-0.104
1521389479.667067,1.104,-0.024,-0.096
1521389479.687476,1.092,-0.028,-0.116
1521389479.6945858,1.088,-0.016,-0.084
1521389479.7012067,1.1,-0.02,-0.112
1521389479.7116957,1.1,-0.024,-0.096
1521389479.7176256,1.1,-0.024,-0.1
1521389479.7238157,1.1,-0.02,-0.104
1521389479.7371266,1.096,-0.024,-0.096
1521389479.7483234,1.1,-0.02,-0.1
1521389479.7541344,1.092,-0.016,-0.1
1521389479.7686121,1.112,-0.012,-0.084
1521389479.787019,1.096,-0.028,-0.104
1521389479.794377,1.104,-0.04,-0.104
1521389479.800229,1.104,-0.02,-0.096
1521389479.806181,1.096,-0.028,-0.084
1521389479.811915,1.092,-0.032,-0.104
1521389479.819764,1.096,-0.02,-0.092
1521389479.8313627,1.1,-0.02,-0.104
1521389479.8370757,1.104,-0.028,-0.1
1521389479.8427458,1.112,-0.028,-0.096
1521389479.8484337,1.092,-0.02,-0.096
1521389479.8549967,1.092,-0.028,-0.1
1521389479.8620405,1.104,-0.016,-0.096
1521389479.8680265,1.1,-0.016,-0.092
1521389479.8799443,1.096,-0.024,-0.096
1521389479.8856344,1.104,-0.024,-0.104
1521389479.8914363,1.108,-0.004,-0.084
1521389479.8970873,1.108,-0.02,-0.08
1521389479.9027903,1.096,-0.02,-0.088
1521389479.916469,1.1,-0.028,-0.096
1521389479.9226081,1.112,-0.008,-0.096
1521389479.928656,1.092,-0.02,-0.1
1521389479.93827,1.092,-0.02,-0.088
1521389479.949599,1.104,-0.024,-0.1
1521389479.9608397,1.104,-0.016,-0.1
1521389479.9671078,1.1,-0.008,-0.104
1521389479.9927435,1.1,-0.02,-0.1
1521389480.0021796,1.1,-0.016,-0.08
1521389480.0107806,1.104,-0.016,-0.084
1521389480.0313382,1.096,-0.016,-0.084
1521389480.0470462,1.088,-0.024,-0.104
