#Time,X,Y,Z
#1522170747.5008268,0.02,-0.964,0.304
1522170750.72049,0.052,-0.932,0.348
1522170750.7254798,0.024,-0.948,0.344
1522170750.7311308,0.0,-0.96,0.364
1522170750.7444417,0.024,-0.944,0.332
1522170750.7491176,0.028,-0.94,0.34
1522170750.7537656,0.02,-0.932,0.34
1522170750.7584417,0.028,-0.944,0.332
1522170750.7630906,0.028,-0.94,0.332
1522170750.7677326,0.024,-0.94,0.336
1522170750.7723644,0.032,-0.94,0.34
1522170750.7770324,0.032,-0.94,0.34
1522170750.7816715,0.036,-0.944,0.344
1522170750.7864134,0.028,-0.94,0.332
1522170750.7910433,0.032,-0.936,0.344
1522170750.7957222,0.028,-0.944,0.344
1522170750.8003442,0.032,-0.94,0.328
1522170750.8049853,0.032,-0.944,0.344
1522170750.8096223,0.036,-0.94,0.34
1522170750.8143592,0.024,-0.924,0.344
1522170750.8189912,0.028,-0.932,0.352
1522170750.8236341,0.032,-0.94,0.34
1522170750.828334,0.028,-0.936,0.336
1522170750.833049,0.028,-0.936,0.336
1522170750.837714,0.024,-0.944,0.34
1522170750.842405,0.032,-0.94,0.336
1522170750.8470309,0.024,-0.94,0.344
1522170750.851702,0.04,-0.944,0.352
1522170750.8564548,0.032,-0.94,0.328
1522170750.8611188,0.032,-0.948,0.336
1522170750.8657258,0.032,-0.944,0.332
1522170750.8704069,0.024,-0.932,0.344
1522170750.8750746,0.024,-0.928,0.344
1522170750.8797536,0.02,-0.944,0.34
1522170750.8845186,0.02,-0.952,0.328
1522170750.8892145,0.028,-0.94,0.348
1522170750.8939817,0.028,-0.94,0.348
1522170750.8985445,0.036,-0.944,0.348
1522170750.9030936,0.028,-0.94,0.364
1522170750.9076445,0.032,-0.936,0.34
1522170750.9122005,0.028,-0.932,0.332
1522170750.9168634,0.028,-0.944,0.34
1522170750.9215164,0.024,-0.932,0.352
1522170750.9262493,0.032,-0.94,0.336
1522170750.9309764,0.024,-0.944,0.332
1522170750.9356873,0.028,-0.944,0.336
1522170750.9404082,0.028,-0.944,0.332
1522170750.9451342,0.028,-0.944,0.332
1522170750.9498491,0.028,-0.94,0.34
1522170750.964492,0.024,-0.944,0.336
1522170750.969229,0.024,-0.94,0.344
1522170750.974019,0.032,-0.944,0.348
1522170750.978734,0.032,-0.936,0.336
1522170750.983407,0.036,-0.94,0.336
1522170750.9906359,0.028,-0.94,0.336
1522170750.9953787,0.024,-0.928,0.344
1522170751.0000477,0.024,-0.94,0.34
1522170751.0047169,0.028,-0.94,0.336
1522170751.0093846,0.028,-0.948,0.352
1522170751.0241265,0.024,-0.948,0.336
1522170751.0287936,0.028,-0.944,0.336
1522170751.0334506,0.028,-0.928,0.332
1522170751.0381165,0.036,-0.94,0.344
1522170751.0522513,0.024,-0.944,0.344
1522170751.0573473,0.028,-0.944,0.34
1522170751.0620823,0.024,-0.936,0.336
1522170751.0667374,0.028,-0.948,0.336
1522170751.0713904,0.028,-0.936,0.34
1522170751.0760503,0.036,-0.94,0.332
1522170751.0807512,0.036,-0.94,0.344
1522170751.094454,0.032,-0.952,0.336
1522170751.099152,0.024,-0.936,0.336
1522170751.103841,0.036,-0.936,0.332
1522170751.108497,0.036,-0.928,0.344
1522170751.1221528,0.028,-0.944,0.336
1522170751.1268828,0.028,-0.944,0.34
1522170751.1315677,0.032,-0.94,0.332
1522170751.1363447,0.036,-0.948,0.344
1522170751.1411767,0.024,-0.944,0.344
1522170751.1458707,0.032,-0.94,0.336
1522170751.1505706,0.032,-0.92,0.34
1522170751.1602125,0.028,-0.944,0.336
1522170751.1649656,0.028,-0.932,0.34
1522170751.1721385,0.028,-0.924,0.332
1522170751.1768384,0.028,-0.956,0.34
1522170751.1884284,0.032,-0.952,0.34
1522170751.1931453,0.036,-0.94,0.36
1522170751.1978414,0.036,-0.948,0.332
1522170751.2025633,0.028,-0.94,0.332
1522170751.2072852,0.032,-0.924,0.332
